Feature,Abs_Correlation,Correlation
V17,0.31349827295568244,-0.31349827295568244
V_mean,0.29949313900425,-0.29949313900425
V14,0.2933753847900375,-0.2933753847900375
V12,0.25071117720572444,-0.25071117720572444
V_std,0.23580936223438675,0.23580936223438675
V10,0.20697123823505995,-0.20697123823505995
V_min,0.20597332161527396,-0.20597332161527396
V16,0.18718605284536483,-0.18718605284536483
V3,0.18232224748340742,-0.18232224748340742
V7,0.17234653244006437,-0.17234653244006437
V11,0.14906710367009862,0.14906710367009862
V3_Amount,0.13171396070028468,-0.13171396070028468
V4,0.12932583072677223,0.12932583072677223
V_max,0.1265184800982654,0.1265184800982654
V18,0.10533971521707602,-0.10533971521707602
V1,0.09448583378656783,-0.09448583378656783
V9,0.09402128731255542,-0.09402128731255542
V5,0.08781244297489789,-0.08781244297489789
V2,0.08462444869117311,0.08462444869117311
V1_Amount,0.0703127281805547,-0.0703127281805547
V2_Amount,0.046155890831248644,0.046155890831248644
V6,0.04391540923808697,-0.04391540923808697
V19,0.03363115444222965,0.03363115444222965
V8,0.03306802333281754,0.03306802333281754
V21,0.02635743889706768,0.02635743889706768
V27,0.02189211330695985,0.02189211330695985
V20,0.021486340321009812,0.021486340321009812
hour_of_day,0.016740217795751963,-0.016740217795751963
Time,0.012359339838081214,-0.012359339838081214
V28,0.009682426330025683,0.009682426330025683
Amount_log,0.0077979096112047635,-0.0077979096112047635
V24,0.007210125120706764,-0.007210125120706764
V23,0.00633321064302292,-0.00633321064302292
Amount,0.005777019670480934,0.005777019670480934
day_of_week,0.005451164197403,-0.005451164197403
V22,0.0048872321638306696,0.0048872321638306696
V26,0.0042645767912485415,0.0042645767912485415
V13,0.0038969551114300884,-0.0038969551114300884
V15,0.0032995578711373995,-0.0032995578711373995
V25,0.0032024935301103903,0.0032024935301103903
