Feature,Fraud_Mean,Non_Fraud_Mean,Mean_Difference,MW_p_value,TT_p_value,Cohens_d,Significant_MW,Significant_TT
V14,-6.971722894107602,0.012064392184377482,-6.983787286291979,1.4715806820794069e-260,1.0401507099025967e-140,-2.2590758307973116,True,True
V4,4.542029104423092,-0.00785986782046519,4.549888972243557,3.625904437063816e-248,4.58731692138804e-136,2.013334791397796,True,True
V12,-6.259393036190131,0.010831723172555763,-6.270224759362687,8.416026601180421e-247,1.4813165028380743e-112,-1.866982549486454,True,True
V11,3.800172911374607,-0.006576104223821546,3.8067490155984287,4.910591830672246e-226,4.577212375356592e-120,1.8821832893705723,True,True
V10,-5.676882870194368,0.009823703892289419,-5.686706574086657,9.611130933483015e-222,3.3828836506134945e-93,-1.6060583512115918,True,True
V3,-7.0332810485965584,0.01217091703184535,-7.045451965628404,1.2110480361161294e-219,4.786081407428199e-75,-1.3725799765570044,True,True
V2,3.6237781019822806,-0.006270857415807067,3.6300489593980876,1.6504376983790665e-163,1.2885797612095705e-59,1.1178246710860034,True,True
V16,-4.139945699092808,0.007164072539099488,-4.147109771631907,1.8081722832035591e-156,7.905325639437749e-84,-1.4824285676152549,True,True
V9,-2.581122921702995,0.004466568691335963,-2.585589490394331,8.943723386517164e-154,1.1935046623364425e-79,-1.3404567230923663,True,True
V7,-5.5687310837427395,0.009636549929484083,-5.578367633672223,1.4642336565270678e-146,4.2922313194412136e-52,-1.0803086421006407,True,True
V17,-6.665836399449663,0.01153506325212925,-6.677371462701792,9.219384389732435e-124,1.558093805784156e-71,-1.3469562363052803,True,True
V1,-4.771948441479082,0.00825773748556368,-4.7802061789646455,1.74078470704578e-113,5.4916429825378326e-45,-0.9585117411024411,True,True
V6,-1.3977367105923515,0.0024187484361073517,-1.4001554590284588,2.231002470170286e-93,5.880377860840089e-50,-0.8665672499168479,True,True
V21,0.7135883526687006,-0.0012348468055254015,0.714823199474226,8.673354819194582e-80,4.882129855322916e-05,0.25689443623390584,True,True
V18,-2.2463081339714064,0.0038871800710979345,-2.250195314042504,2.6489619761287066e-77,2.6392225457940417e-52,-1.0556729905088762,True,True
V5,-3.151224885936005,0.005453115888647496,-3.1566780018246523,3.0537119618414104e-58,1.4970277071054122e-33,-0.8056429980473638,True,True
V27,0.17057479224418592,-0.0002951754138341054,0.17086996765802004,1.414589041975417e-51,0.006129683626016929,0.16855306513980536,True,True
V8,0.5706358952962376,-0.0009874711516652862,0.5716233664479029,8.50989149282899e-34,0.06275811803424983,0.11722176249137616,True,False
V19,0.680659303475429,-0.0011778639090783641,0.6818371673845074,2.4019601988224717e-33,6.707056605381376e-21,0.5539494507463364,True,True
V20,0.3723193957714717,-0.0006442894068880692,0.37296368517835976,1.1281043187424568e-30,1.6876894180533058e-09,0.34008474967925423,True,True
V28,0.0756672906457746,-0.00013094035488017209,0.07579823100065478,1.2036828471902098e-27,0.0022512074332820577,0.16779045446960464,True,True
Time,80746.80691056911,94838.20225805884,-14091.395347489728,4.386159162408272e-10,1.6545639490487452e-10,-0.2956649420880126,True,True
V24,-0.10513030543948289,0.00018192536544853191,-0.10531223080493142,9.423065514108417e-07,7.565212734686297e-06,-0.18722594849271917,True,True
Amount,122.21132113821139,88.29102242231328,33.92029871589811,8.57847231084022e-06,0.003560518851710299,0.13385248303099562,True,True
Amount_log,2.820595512370188,3.152761873849549,-0.33216636147936107,8.57847231084022e-06,0.0009478744121868926,-0.16990788885010447,True,True
V26,0.05164812556245366,-8.937579014912119e-05,0.051737501352602785,0.00353190452220665,0.015421282726400356,0.10846680771838174,True,True
V23,-0.04030796594836943,6.975192742793419e-05,-0.040377717875797366,0.007419608511627531,0.5710402154248271,-0.033638853150966916,True,False
V25,0.041448887262827076,-7.17262632402815e-05,0.04152061352606736,0.012462926236338216,0.24872292184544426,0.061668348210514735,True,False
V13,-0.10933381708278403,0.0001891994372613545,-0.10952301652004538,0.051214811167866046,0.02842016819253238,-0.10418678990471399,False,True
V15,-0.09292874691208501,0.00016081087344014,-0.09308955778552515,0.12950821497825638,0.04993336077251891,-0.0945264891485133,False,True
V22,0.014048882140121373,-2.431123934031162e-05,0.014073193379461685,0.2663946500234552,0.8346791940015029,0.011985261927466524,False,False
